"HUNDENAME","GEBURTSJAHR_HUND","GESCHLECHT_HUND"
"Diamonds of Taylor Miro",2015,"m"
"Diana",2010,"w"
"Diana",2017,"w"
"Diane",2011,"w"
"Dias",2019,"m"
"Diavola",2018,"w"
"Dick",2016,"m"
"Dickie",2012,"m"
"Didi",2007,"m"
"Didi",2020,"m"
"Dido",2005,"m"
"Diego",2018,"m"
"Diego",2012,"m"
"Diego",2019,"m"
"Diesel",2008,"m"
"Dika",2011,"w"
"Dilina",2014,"w"
"Dilly",2012,"w"
"Dimitri",2020,"m"
"Dimitri",2005,"w"
"Dina",2014,"w"
"Dina",2012,"w"
"Dina",2008,"w"
"Dina",2010,"w"
"Dingo",2013,"m"
"Dingo",2019,"m"
"Dingo",2005,"m"
"Dino",2008,"m"
"Dino",2013,"m"
"Dino",2016,"m"
"Dino",2005,"m"
"Dino",2009,"m"
"Dino",2020,"m"
"Dino",2019,"m"
"Dino",2011,"m"
"Dino Angelo",2017,"m"
"Dino vom Tierfeld",2010,"m"
"Dionys Brutus Velica",2018,"m"
"Dior",2018,"m"
"Dior",2019,"m"
"Dior (Rocky)",2020,"m"
"Diores",2016,"m"
"Dipsy",2012,"w"
"Dirk von Schweizersholz",2016,"m"
"Disco",2018,"m"
"Disco-Stewie of Clement",2018,"m"
"Ditus",2012,"m"
"Diva",2020,"w"
"Diva",2013,"w"
"Diva",2016,"w"
"Diva",2009,"w"
"Diva",2008,"w"
"Diva",2019,"w"
"Diva",2009,"w"
"Diva",2007,"w"
"Diva Sina",2007,"w"
"Divi",2015,"w"
"Divna",2016,"w"
"Dixi",2006,"w"
"Diya",2018,"w"
"Dizzy",2005,"m"
"Dizzy (Baileys)",2013,"w"
"Djahan",2010,"m"
"Djamila",2014,"w"
"Django",2016,"m"
"Django",2019,"m"
"Django",2019,"m"
"Django",2006,"m"
"Django",2017,"m"
"Django",2017,"m"
"Django",2012,"m"
"Django",2016,"m"
"Django",2017,"m"
"Djego",2013,"m"
"Djira",2005,"w"
"Djuce",2011,"m"
"Djurdja",2020,"w"
"Dobby",2012,"m"
"Dobby",2020,"m"
"Dobby",2012,"m"
"Dodo",2012,"m"
"Dodo",2011,"m"
"Dodo",2013,"m"
"Dolce",2012,"m"
"Dolce",2008,"w"
"Dolce Vita Life (Bubi)",2016,"m"
"Dolli",2013,"w"
"Dolly",2017,"w"
"Dolly",2013,"w"
"Dolly",2017,"w"
"Dolly Wintsch",2020,"w"
"Dolly sweet Girl",2015,"w"
"Domino",2012,"m"
"Domino",2012,"m"
"Domino",2013,"m"
"Don",2006,"m"
"Don (Aklaro Marchmallow)",2018,"m"
"Don Camillo",2018,"m"
"Don Carlos",2018,"m"
"Don Filinto",2019,"m"
"Don Fuego",2014,"m"
"Don't Stop Til U Get It HP",2018,"m"
"Dona",2009,"w"
"Dona (Donatella d'Abundo)",2008,"w"
"Doni",2018,"m"
"Donna",2015,"w"
"Donna",2008,"w"
"Donna Ximena",2019,"w"
"Donny",2019,"m"
"Dony",2018,"m"
"Dora",2015,"w"
"Dora",2014,"w"
"Doreen",2005,"w"
"Doris",2005,"w"
"Doros (Moritz)",2009,"m"
"Dorothea v. Försterhaus",2020,"w"
"Dory",2019,"m"
"Dotty",2020,"w"
"Douglas",2009,"m"
"Douky (Bejou)",2011,"m"
"Dover",2013,"m"
"Dr. Maris",2009,"w"
"Dragi",2019,"m"
"Drago",2012,"m"
"Dream of Happyaussies",2020,"m"
"Dreams",2008,"m"
"Drizzy",2020,"m"
"Drunken Carlino",2009,"m"
"Drüü",2009,"w"
"Dschin-Dschi",2011,"w"
"Dshamu",2019,"m"
"Duchess Luscious",2017,"m"
"Duchesse",2014,"w"
"Duda",2016,"w"
"Dude",2013,"m"
"Duffy",2008,"w"
"Duffy",2009,"w"
"Duke",2015,"m"
"Duke",2012,"m"
"Duke",2020,"m"
"Duke",2016,"m"
"Duke",2018,"m"
"Duke",2020,"m"
"Duke",2010,"m"
"Duke",2020,"m"
"Duke",2020,"m"
"Duke Winston Oliver Wellington",2020,"m"
"Dulce",2016,"w"
"Duma",2009,"w"
"Dumisha Aska",2018,"w"
"Dunja von Auenland",2012,"w"
"Duque",2018,"m"
"Duque",2016,"m"
"Duque (Hugo)",2011,"m"
"Duran vom Wolfsstern",2010,"m"
"Duschka von Bonambra",2020,"w"
"Dusja",2014,"w"
"Dustin",2016,"m"
"Dusty vom Wolfszauber",2016,"m"
"Dwayne",2012,"m"
"Dyana'Lys Born To Be Live",2009,"w"
"Dylan",2020,"m"
"Dylan",2008,"m"
"Dylan",2014,"m"
"Dylan (Carlos)",2009,"m"
"Dynamite (Timmy)",2019,"m"
"Dzhigan",2015,"m"
"Délos",2003,"m"
"Düse (Sunny)",2006,"w"
"E-IMI",2009,"w"
"Eames (Bubbel)",2009,"w"
"Earl",2017,"m"
"Earl",2014,"m"
"Eazy",2016,"m"
"Eazy Fousek",2020,"w"
"Ebba",2020,"w"
"Ebby",2014,"w"
"Ebby",2020,"w"
"Echo",2019,"m"
"Eclair",2019,"m"
"Eco",2014,"m"
"Ed Vito",2020,"m"
"Edda",2007,"w"
"Eddie",2011,"m"
"Eddy",2016,"m"
"Edelweiss",2020,"w"
"Eden de la Côte d'Or",2017,"w"
"Edgar",2009,"m"
"Edgar",2009,"m"
"Edi",2010,"m"
"Edi",2010,"m"
"Edi (Ischigo v. Bergkristall",2020,"m"
"Edna Chiara",2015,"w"
"Eduardo Durango",2016,"m"
"Edy",2010,"m"
"Edy",2016,"m"
"Eesha",2007,"w"
"Effi v. Hoppiho",2006,"w"
"Egon",2012,"m"
"Eiji",2016,"m"
"Eika",2008,"w"
"Eika vom Reistelkopf",2014,"w"
"Eiko",2007,"m"
"Eiko",2010,"m"
"Eiko (Scalloway's ) (Edor)",2008,"m"
"Eila",2010,"w"
"Eila Golden Whirlwind of Lenz.",2020,"w"
"Einstein",2009,"w"
"Einstein",2011,"m"
"Eisha",2019,"w"
"Eisha (Orianna)",2017,"w"
"Ela",2010,"w"
"Elafonisi",2016,"w"
"Elani",2020,"w"
"Elay",2018,"m"
"Electra",2017,"w"
"Elena",2012,"w"
"Eleni",2019,"w"
"Eleny",2020,"w"
"Elfie",2014,"w"
"Eli (Eleonore)",2013,"w"
"Eli vom Emmenwald",2019,"w"
"Elia",2020,"w"
"Eliana",2013,"w"
"Elias",2018,"m"
"Elie",2009,"w"
"Eligius",2016,"m"
"Elijah",2011,"m"
"Elina",2010,"w"
"Elina",2017,"w"
"Elio",2019,"m"
"Elio (Erkki)",2011,"m"
"Eliot",2008,"m"
"Eliott",2019,"m"
"Elisa",2020,"w"
"Elisa",2014,"w"
"Elisabeth",2016,"w"
"Elisha Paloma of Snowdrift",2019,"w"
"Eliza",2017,"w"
"Eliza",2015,"w"
"Ella",2015,"w"
"Ella",2019,"w"
"Ella",2010,"w"
"Ella",2017,"w"
"Ella",2020,"w"
"Ella",2016,"w"
"Ella",2019,"w"
"Ella",2016,"w"
"Ella",2018,"w"
"Ella (Electra)",2011,"w"
"Elli",2016,"w"
"Elli",2018,"w"
"Elli",2017,"w"
"Elli von Ricken",2016,"w"
"Ellie",2013,"w"
"Ellie",2018,"w"
"Ellie",2009,"w"
"Ellie (Angel's Ride)",2017,"w"
"Elliot",2016,"m"
"Elliot",2018,"m"
"Elliot-Kila",2008,"m"
"Ellwood's Malaika in black",2012,"w"
"Elly",2015,"w"
"Elly",2014,"w"
"Elly",2020,"w"
"Elly",2008,"w"
"Elmer",2009,"m"
"Elmo",2014,"m"
"Elmo Milou",2016,"m"
"Elmsford Star Kaylah",2018,"w"
"Elodie Goody",2016,"w"
"Eloise (Piccadilly's Sweet L.)",2020,"w"
"Eloy",2012,"m"
"Elram's Avery",2009,"m"
"Elram`sTabea Bliss of Love SUI",2018,"w"
"Elsa",2017,"w"
"Elsa",2020,"w"
"Elsa",2015,"w"
"Elsa",2017,"w"
"Elsa",2014,"w"
"Elsa-Frieda",2017,"w"
"Elton",2020,"m"
"Elton Oportobulls",2019,"m"
"Elva",2011,"w"
"Elvin v. Apache-Cheyenne",2011,"m"
"Elvis",2016,"m"
"Elvis",2005,"m"
"Elvis",2008,"m"
"Elvis",2007,"m"
"Elvis",2010,"m"
"Elvis",2010,"m"
"Elvis",2011,"m"
"Elvis",2012,"m"
"Elvis",2008,"m"
"Elvis",2020,"m"
"Elvis",2018,"m"
"Elvis",2014,"m"
"Elvis",2010,"m"
"Elvis (Earl of Amor)",2017,"m"
"Ely",2016,"m"
"Ema",2017,"w"
"Embo",2020,"m"
"Emely",2015,"w"
"Emely",2015,"w"
"Emely",2008,"w"
"Emely (Daisy Mae)",2013,"w"
"Emil",2014,"m"
"Emil",2019,"m"
"Emil",2018,"m"
"Emil",2017,"m"
"Emil",2020,"m"
"Emil",2020,"m"
"Emil",2011,"m"
"Emil Albert",2008,"m"
"Emili",2015,"w"
"Emilio",2014,"m"
"Emiliy (Sendi)",2018,"w"
"Emiliya",2016,"w"
"Emily",2006,"w"
"Emily",2015,"w"
"Emily",2011,"w"
"Emily",2005,"w"
"Emily Darla",2019,"w"
"Emma",2019,"w"
"Emma",2009,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma",2009,"w"
"Emma",2011,"w"
"Emma",2008,"w"
"Emma",2007,"w"
"Emma",2012,"w"
"Emma",2015,"w"
"Emma",2020,"w"
"Emma",2010,"w"
"Emma",2020,"w"
"Emma",2016,"w"
"Emma",2009,"w"
"Emma",2012,"w"
"Emma",2018,"w"
"Emma",2016,"w"
"Emma",2019,"w"
"Emma",2012,"w"
"Emma",2013,"w"
"Emma",2014,"w"
"Emma (Erika)",2019,"w"
"Emma (Haysha)",2014,"w"
"Emma (Svenja)",2007,"w"
"Emma (Zora)",2007,"w"
"Emmely",2015,"w"
"Emmi",2010,"w"
"Emmi",2008,"w"
"Emmy",2014,"w"
"Emtschi",2009,"m"
"Ena von der Linde",2010,"w"
"Enapay",2008,"m"
"Energy (Dimitrie-Napoleon)",2015,"m"
"Enja",2011,"w"
"Enja",2010,"w"
"Enja Fazzini",2012,"w"
"Ennio du brave Coeur",2014,"m"
"Enoja",2014,"w"
"Enya",2016,"w"
"Enya",2006,"w"
"Enya",2017,"w"
"Enyo",2018,"m"
"Enzo",2009,"m"
"Enzo",2017,"m"
"Enzo",2016,"m"
"Enzo",2009,"m"
"Enzo",2019,"m"
"Eolo Emme Esse Balu",2020,"m"
"Epi",2007,"m"
"Ercolino",2013,"m"
"Erik",2019,"m"
"Erik",2019,"m"
"Erni",2015,"m"
"Ernie",2015,"m"
"Ernie",2018,"m"
"Eros",2017,"m"
"Eros",2010,"m"
"Eros",2014,"m"
"Eros",2010,"m"
"Eros",2016,"m"
"Eros Rocky",2017,"m"
"Erox",2019,"m"
"Escobar",2012,"m"
"Eske",2014,"w"
"Eslan",2017,"m"
"Esprit Active Crispy Concho",2014,"m"
"Estelle",2014,"w"
"Estragon (Dylan Wieselweide)",2013,"m"
"Estreja",2004,"w"
"Estrelinha",2012,"w"
"Estrella",2011,"w"
"Estrella",2008,"w"
"Estrellita",2008,"w"
"Estrellita",2012,"w"
"Estrupi",2011,"m"
"Eugen",2019,"m"
"Eugenia",2013,"w"
"Eusebio",2007,"m"
"Eva Gladys",2019,"w"
"Eva Maria (Grace Kelly)",2017,"w"
"Eve",2012,"w"
"Eve",2019,"w"
"Eve-Chloe",2011,"w"
"Everest First Kim",2013,"w"
"Everybody's Darling Shakti",2014,"w"
"Evi",2009,"w"
"Evita",2011,"w"
"Evita-Maria",2009,"w"
"Ewa",2014,"w"
"Ewan i Fiori Papavero",2011,"m"
"Ewii (Pickwick Evita)",2009,"w"
"Ewok vom Haus Vax",2019,"m"
"Eya",2017,"w"
"Eyk",2018,"m"
"Eyla",2005,"w"
"Eyla vom Rassel-Team",2014,"w"
"Ezhevichka",2018,"w"
"F-Edera of True Eyes",2020,"w"
"Fadi",2020,"m"
"Fado",2014,"m"
"Fafa (Bimba)",2010,"w"
"Fagott",2016,"m"
"Fahro",2017,"m"
"Fairy",2012,"w"
"Fajumi",2020,"w"
"Falco",2009,"m"
"Falco",2018,"m"
"Falco",2009,"m"
"Falco",2016,"m"
"Falk of revolution",2018,"m"
"Falling in Love",2018,"w"
"Fame",1999,"w"
"Fame",2012,"w"
"Fango",2020,"m"
"Fanni",2016,"w"
"Fanny",2013,"w"
"Fanny von Fünf Dörfer",2015,"w"
"Fantastic Feature's Happy Lou",2017,"w"
"Faolan",2014,"m"
"Faraa Asha Jata",2018,"w"
"Farah",2015,"w"
"Farah",2006,"w"
"Faramis Floower",2018,"m"
"Faro",2007,"m"
"Farofa",2013,"w"
"Farok du Lion d'Artois",2010,"m"
"Farrusca",2015,"w"
"Faruk",2009,"m"
"Favolosa",2017,"w"
"Fay",2013,"w"
"Faya",2011,"w"
"Faye",2019,"w"
"Faye",2014,"w"
"Fayla",2020,"w"
"Fe (Floppy)",2011,"w"
"Fe (Vivi)",2016,"w"
"Fedora",2020,"w"
"Fedra",2012,"w"
"Fee",2017,"w"
"Feel Free Piccadilly",2020,"m"
"Feith",2011,"m"
"Feivel of Rivendell",2011,"m"
"Felice",2007,"m"
"Felicia",2019,"w"
"Felicia",2010,"w"
"Felicia",2018,"w"
"Felicia",2009,"w"
"Felino",2017,"m"
"Felix",2012,"m"
"Felix",2015,"m"
"Felix",2015,"m"
"Felix",2016,"m"
"Felix",2017,"m"
"Felix",2019,"m"
"Felix",2010,"m"
"Felix",2013,"m"
"Felix (Candyboy v. alten Zoll)",2008,"m"
"Fenja",2017,"w"
"Fenja-Chanell of Clermont",2016,"w"
"Fenjo",2017,"m"
"Fenris",2020,"m"
"Fenya",2009,"w"
"Ferdinand",2013,"m"
"Fetiza",2007,"w"
"Fey-Felice",2013,"w"
"Feya",2020,"w"
"Fiasco",2006,"m"
"Fibi",2012,"w"
"Fibie",2004,"w"
"Ficelle",2010,"w"
"Fidel",2017,"w"
"Fidel",2015,"m"
"Fido",2020,"m"
"Fido",2017,"m"
"Fiebi",2013,"w"
"Fiete",2019,"m"
"Fiete (Alf von fünf Dörfer)",2015,"m"
"Fifi",2017,"m"
"Fifi",2009,"w"
"Figaro",2014,"m"
"Figaro",2006,"m"
"Figo",2016,"m"
"Figo",2011,"m"
"Fiji",1992,"m"
"Fiji",2018,"w"
"Fiji Targaryen Fire",2018,"w"
"Fila",2009,"w"
"Fila",2020,"w"
"Fili",2012,"w"
"Filini",2017,"w"
"Filip",2009,"m"
"Filipa",2013,"w"
"Filiz",2020,"w"
"Fillis",2010,"w"
"Filo",2007,"w"
"Filomena vom Rickental",2018,"w"
"Filos",2008,"m"
"Filou",2008,"m"
"Filou",2012,"m"
"Filou",2013,"m"
"Filou",2019,"m"
"Filou",2015,"m"
"Filou (Alpha vom Tüfenbach)",2018,"w"
"Filou (Alrischa)",2008,"m"
"Filou-Sid",2010,"m"
"Fina",2014,"w"
"Fina",2017,"w"
"Finch Hatton Benetton",2009,"m"
"Findus",2020,"m"
"Fine",2020,"w"
"Fine",2018,"w"
"Finette",2010,"w"
"Finia von Burg Schwärtzenberg",2012,"w"
"Finija",2015,"w"
"Finlay",2017,"m"
"Finley",2010,"m"
"Finley",2014,"m"
"Finley (Friedrich)",2019,"m"
"Finn",2020,"m"
"Finn",2013,"m"
"Finn",2018,"m"
"Finn",2017,"m"
"Finn",2009,"m"
"Finn",2011,"m"
"Finn",2014,"m"
"Finn (Filou)",2011,"m"
"Finn Bruno",2020,"m"
"Finn von Excalibur",2011,"m"
"Finney",2008,"w"
"Finnia (Mimi)",2014,"w"
"Finnix (Nick v.d. Joderten)",2016,"m"
"Finnley Seim",2018,"m"
"Finno",2018,"m"
"Finu",2020,"m"
"Fiocca",2008,"w"
"Fiocco",2006,"m"
"Fiocco",2010,"m"
"Fiona",2016,"w"
"Fiona",2014,"w"
"Fiona",2007,"w"
"Fiona",2019,"w"
"Fiorella",2018,"w"
"Fipsli Phoebe v. Ramat Gan",2010,"w"
"Fipsy",2013,"m"
"Fire an Ice",2009,"m"
"Firen",2015,"w"
"Fiselle",2010,"m"
"Fitz",2014,"m"
"Flaek (Merlin Siebenbannstein)",2012,"m"
"Flaffy",2011,"m"
"Flambo",2010,"m"
"Flame",2014,"m"
"Flame",2019,"w"
"Flamenco",2014,"m"
"Flash",2020,"m"
"Flash",2013,"w"
"Flavia",2009,"w"
"Flecky",2013,"m"
"Flecky",2015,"m"
"Fleur",2014,"w"
"Flicka (Frieda)",2013,"w"
"Flink",2012,"m"
"Flip",2010,"m"
"Flip v. den Glückspfoten",2016,"m"
"Flips (Lord Byron)",2020,"m"
"Flo",2016,"w"
"Flo",2016,"m"
"Flo (Gleam of Light Linija)",2020,"w"
"Flo (NN)",2016,"w"
"Flocke (Dalmor Beety Boo)",2008,"w"
"Flocki",2017,"m"
"Flocki",2016,"m"
"Flocki",2017,"m"
"Flocki",2008,"m"
"Flocki",2009,"m"
"Flocky",2015,"w"
"Flocky Coco of Clermont",2016,"w"
"Floh",2008,"w"
"Floki",2019,"m"
"Floki (Raffi)",2018,"m"
"Flopy",2017,"w"
"Flor",2018,"w"
"Flor",2010,"w"
"Flora",2011,"w"
"Flora",2009,"w"
"Flora",2017,"m"
"Flora",2019,"w"
"Flori (Jerry)",2012,"m"
"Florin 2",2011,"w"
"Flosina",2016,"w"
"Flourish Ing Groove",2017,"m"
"Flower",2017,"w"
"Floyd",2013,"m"
"Floyd Flo Faro",2017,"m"
"Fluffy",2020,"w"
"Fluffy",2020,"m"
"Fluke",2014,"m"
"Flummy",2013,"w"
"Fly",2006,"w"
"Flynn",2014,"m"
"Flynn",2015,"m"
"Flynn",2019,"m"
"Flynn vom Siggenberg",2018,"m"
"Flöckli",2012,"w"
"Flöckli (Rocky)",2020,"m"
"Fofhina",2011,"w"
"Fofinha",2011,"w"
"Fofinha",2012,"w"
"Foltos",2004,"m"
"Fonzie",2017,"m"
"Fonzy",2010,"m"
"Foquinha (Lora)",2017,"w"
"Fossi",2010,"m"
"Fox (Casey)",2009,"m"
"Foxi",2018,"w"
"Foxtrot",2019,"m"
"Foxy",2008,"m"
"Foxy",2014,"w"
"Foxy",2018,"w"
"Foxy",2008,"w"
"Foxy (Flame)",2019,"w"
"Foxy Laki",2019,"w"
"Francis",2015,"m"
"Francis",2012,"m"
"Franco",2018,"m"
"Frangipani von Springbell",2016,"w"
"Frank",2008,"m"
"Frank",2018,"m"
"Frankie",2020,"m"
"Frankie",2016,"w"
"Frankie",2010,"m"
"Franklin",2012,"m"
"Franklin",2020,"w"
"Franklin (ULYSSE)",2020,"m"
"Franky",2017,"m"
"Franky",2017,"m"
"Franz",2011,"m"
"Franzi Hamira",2011,"w"
"Fred",2017,"m"
"Fred",2020,"m"
"Fred Doll",2018,"m"
"Freddie",2020,"m"
"Freddie",2011,"m"
"Freddy",2012,"m"
"Freddy",2017,"m"
"Frederike vom Albispass",2019,"w"
"Fredi",2016,"m"
"Fredy",2018,"m"
"Freia",2018,"w"
"Freiya vom Zauberwald (Jacky)",2016,"w"
"Freki Freak from ColorGang",2020,"m"
"Freya",2014,"w"
"Freya",2015,"w"
"Freyja",2019,"w"
"Frici",2020,"m"
"Frici",2016,"m"
"Fricki (Meru)",2010,"m"
"Frida",2017,"w"
"Frida",2019,"w"
"Frida",2017,"w"
"Frida",2019,"w"
"Frida",2018,"w"
"Frida",2020,"w"
"Frida",2020,"w"
"Frida",2012,"w"
"Frida",2008,"w"
"Frida (Fanny)",2008,"w"
"Friday",2012,"m"
"Frido",2012,"m"
"Fridolin",2018,"w"
"Frieda",2011,"w"
"Frieda",2012,"w"
"Frieda",2020,"w"
"Frieda Blu (Rubi)",2019,"w"
"Fritz",2009,"m"
"Fritz",2017,"m"
"Fritz",2012,"m"
"Fritzens Yew",2009,"w"
"Frodo",2016,"m"
"Frodo",2015,"m"
"Frodo",2007,"m"
"Frosty",2014,"m"
"Fräulein Mai",2018,"w"
"Fubuki des Fées d'Ebène",2010,"w"
"Fuchur",2009,"m"
"Fuchur",2018,"m"
"Fuego",2011,"m"
"Fuero",2011,"m"
"Fuffy",2011,"m"
"Fufi",2013,"m"
"Fujima Go Jamawaru Kensha",2020,"m"
"Fumble",2019,"w"
"Funga",2012,"m"
"Funny",2014,"w"
"Funny",2014,"w"
"Furbo",2013,"m"
"Furbo",2013,"m"
"Furby",2010,"m"
"Fuzzy",2010,"m"
"Fynn",2020,"m"
"Fynn",2014,"m"
"Fynn",2018,"m"
"Fynn",2020,"m"
"Fynn",2017,"m"
"Fynn",2020,"m"
"Fägi",2010,"m"
"Füge",2013,"w"
"Füge",2015,"w"
"Gab",2006,"m"
"Gadsby",2011,"m"
"Gaia",2020,"w"
"Gaia",2015,"w"
"Gaia",2020,"w"
"Gaia",2008,"w"
"Gaia",2010,"w"
"Gaio",2006,"m"
"Gala",2019,"w"
"Gala",2014,"w"
"Galahad's Guardian - O'Ascot",2015,"m"
"Galaxy Luna",2019,"w"
"Galice",2014,"w"
"Galina (Deni)",2010,"w"
"Gallahad",2018,"m"
"Gamba",2015,"w"
"Gambino",2006,"m"
"Gambra",2011,"w"
"Ganbo",2011,"w"
"Gandhi",2015,"m"
"Gantroppas Ona",2018,"w"
"Gantroppas Ori-Willi",2018,"m"
"Garbanzo",2020,"m"
"Gari (Nunu)",2007,"m"
"Garo Del sogno del bosco",2010,"m"
"Garret",2010,"m"
"Garro v. Spalentor",2010,"m"
"Garry",2019,"m"
"Garu",2007,"m"
"Gary 'Cooper' (Ivko)",2016,"m"
"Gascho",2007,"m"
"Gaspard",2011,"m"
"Gatsby (Loving Hearts Honey)",2007,"m"
"Gaucho",2005,"m"
"Gayla",2015,"w"
"Gedeone",2014,"m"
"Geeny",2010,"w"
"Gelahad",2008,"m"
"Geleia",2012,"m"
"Gemma",2017,"w"
"Gemma",2010,"w"
"Gemma",2008,"w"
"Genette Bleue de la Vallée",2010,"w"
"Genevieve/Kernel",2017,"w"
"Genki (Hatchiko vom Ilmenautal",2008,"m"
"Gentleman ""Tim"" von Bayern",2018,"m"
"Geo",2020,"m"
"George",2014,"m"
"George",2015,"m"
"George",2016,"m"
"George",2013,"m"
"George (Jamiro)",2013,"m"
"George (Lotus)",2014,"m"
"Georges",2011,"m"
"Georgi (Glenveagh Gallagher)",1982,"m"
"Georgia",2015,"w"
"Georgia-Nouky",2018,"w"
"Georgy",2014,"m"
"Geppetto (Tyson)",2019,"m"
"Geronimo",2011,"m"
"Gerry",2011,"m"
"Gery (Grimm)",2018,"m"
"Ghandi",2014,"m"
"Ghanima Najma of Vumbuo",2019,"w"
"Ghia",2006,"w"
"Ghita",2006,"w"
"Ghost",2018,"m"
"Ghost",2016,"m"
"Ghost",2018,"m"
"Gia",2008,"w"
"Gia",2018,"w"
"Gia",2020,"w"
"Giada",2007,"w"
"Giada",2005,"w"
"Giada",2010,"w"
"Gian",2014,"m"
"Gianna",2016,"w"
"Gianna",2010,"w"
"Gianna La Negra von Candela",2018,"w"
"Gibbs",2008,"m"
"Gibbs",2018,"m"
"Gibson",2014,"m"
"Giddy",2017,"m"
"Gigi",2017,"m"
"Gigi",2011,"w"
"Gigi",2010,"m"
"Gigi Ail",2019,"w"
"Gigolo Du Pic Noir",2017,"m"
"Gil",2010,"m"
"Gila",2009,"w"
"Giles",2018,"m"
"Gili",2016,"w"
"Gill",2016,"w"
"Gilla",2011,"w"
"Gillian's Choice River Queen Q",2020,"w"
"Gimmy",2004,"m"
"Gimo",2002,"m"
"Gin",2012,"w"
"Gin",2007,"w"
"Gin",2016,"w"
"Gin",2010,"m"
"Gina",2006,"w"
"Gina",2012,"w"
"Gina",2010,"w"
"Gina",2020,"w"
"Gina",2011,"w"
"Gina",2013,"w"
"Gina",2008,"w"
"Gina",2019,"w"
"Gina",2014,"w"
"Gina",2008,"w"
"Gina",2009,"w"
"Gina",2009,"w"
"Gina",2015,"w"
"Gina",2016,"w"
"Gina",2009,"w"
"Gina",2014,"w"
"Gina",2010,"w"
"Gina (Bella)",2014,"w"
"Gina (Lola)",2016,"w"
"Ginger",2013,"w"
"Ginger",2018,"w"
"Ginger",2006,"w"
"Ginger",2017,"w"
"Ginger",2017,"w"
"Ginger",2005,"w"
"Ginger",2013,"w"
"Ginger",2008,"m"
"Ginger",2019,"w"
"Ginger",2019,"w"
"Ginger",2011,"w"
"Ginger",2017,"w"
"Ginger",2003,"w"
"Ginger",2005,"m"
"Ginger",2012,"w"
"Ginger",2009,"w"
"Ginger",2009,"w"
"Ginger",2020,"w"
"Ginger (Beautiful)",2008,"w"
"Ginger (Denver)",2013,"m"
"Ginger (Nicky)",2006,"w"
"Gingercreek Truffle Zucchero",2019,"m"
"Gingo",2004,"m"
"Gingy",2014,"w"
"Gini",2005,"w"
"Gini",2020,"w"
"Gini (Highland's Bluebell)",2018,"w"
"Ginni",2010,"w"
"Ginnie",2012,"w"
"Ginny",2006,"w"
"Ginny",2016,"w"
"Ginny",2014,"w"
"Ginny",2017,"w"
"Ginny",2020,"w"
"Ginny  (Eaily v. Ramat Gan)",2001,"w"
"Ginny (Manon)",2013,"w"
"Gino",2018,"m"
"Gino",2012,"m"
"Gino",2018,"m"
"Gino",2014,"m"
"Gino",2020,"m"
"Gino",2005,"m"
"Gino (Giamiro)",2015,"m"
"Gio Louisse Adam",2020,"m"
"Gioia",2016,"w"
"Gioia",2012,"w"
"Gioia",2012,"w"
"Gioia",2013,"w"
"Gioia",2006,"w"
"Gioia",2018,"w"
"Gioia",2017,"w"
"Gioia",2018,"w"
"Gioia",2015,"w"
"Gioia",2012,"w"
"Gioia",2010,"w"
"Gioia (Colette)",2011,"w"
"Giorgina (Bonnie)",2009,"w"
"Giorgio",2009,"m"
"Giorgio",2020,"m"
"Giotto",2018,"m"
"Giotto",2011,"m"
"Giotto Nelson von Shenjamo",2016,"m"
"Giotto vom Sunnepärkli",2019,"m"
"Giove",2013,"m"
"Gipfeli",2005,"m"
"Gipsy",2017,"m"
"Gipsy",2013,"w"
"Gipsy",2015,"w"
"Gipsy",2009,"w"
"Gipsy",2007,"w"
"Gipsy",2013,"w"
"Gipsy",2007,"w"
"Giro",2013,"m"
"Gismo",2012,"m"
"Gismo",2016,"m"
"Gismo",2006,"m"
"Gismo",2007,"m"
"Gismo",2014,"m"
"Gismo",2009,"m"
"Gismo Aton v. Graf Toggenburg",2014,"m"
"Giuli",2020,"w"
"Giuli (Asami)",2014,"w"
"Giuli-Sky vom Fahrwinkel",2018,"w"
"Giulia",2012,"w"
"Giulietta",2011,"w"
"Giulietta",2014,"w"
"Giulietta (Eika v. Seebachtal)",2011,"w"
"Giulio",2016,"m"
"Gizi",2014,"w"
"Gizmo",2018,"m"
"Gjynah",2014,"w"
"Gladys",2020,"w"
"Glauco",2020,"m"
"Glen",2018,"m"
"Gloria Loved Chocolates",2012,"w"
"Gloria vom Fichtelhof",2017,"w"
"Glory of Love",2015,"w"
"Glüna",2008,"w"
"Godzilla",2016,"m"
"Gogi",2018,"m"
"Goia",2015,"w"
"Golden",2014,"w"
"Golden Perfection Aiko",2017,"m"
"Goldie",2010,"w"
"Goldy",2014,"m"
"Golfo",2019,"m"
"Golfo",2009,"m"
"Goliath",2015,"m"
"Golo",2020,"m"
"Goma",2006,"w"
"Gonzo",2010,"m"
"Gonzo",2013,"m"
"Gonzo",2007,"m"
"Gora",2011,"w"
"Gora",2019,"w"
"Gora",2012,"m"
"Gordita",2007,"w"
"Gordo",2018,"m"
"Gordo",2008,"m"
"Gorgie",2019,"m"
"Goro",2016,"m"
"Gory",2013,"m"
"Grace",2015,"w"
"Grace Muray Hopper dit ""Oslo""",2017,"w"
"Gracia",2011,"w"
"Gracy (vormals Gwen)",2018,"w"
"Graff",2017,"m"
